r1	r2	r3	R	T
0.1089633878946756	8.65248252865177	30.4553894256417	8.00385860536855	0.0469372211771512
0.10883383691156048	8.64849065546869	32.3338034629149	8.002827705854909	2.37142222438105
0.10880888493358523	8.64576140373701	32.0063981246138	7.99844605345004	0.744501585697489
0.10878780915681303	8.64307112927899	31.7292131593002	7.994352035177895	0.716665556178271

0.109093087424743	8.51375543352841	33.9710517505141	7.878068124638199	81.4471773390838
0.10900158056984785	8.50850224890761	32.9803526972663	7.868179402575064	7.12858590031374
0.10830087221462215	8.47502076357227	27.2478361629017	7.799720395574775	0.000108882471144829
0.10825333441971645	8.47300085400029	28.0200599406804	7.7995399917145	0.000789667745567917
0.10862870770049185	8.48902222283391	32.6872674208441	7.839630233786673	4.51420497345309
0.10798444928304209	8.45997285276388	27.3407090832192	7.777740471771628	9.71914181282007e-5
0.10816662439768206	8.46815476531330	28.5981358923789	7.794913947586547	0.00128588887787012
0.10807231773183104	8.46504734716859	27.9628310890316	7.78730779818614	0.000208978528558193
0.10794756368801511	8.45917420318706	27.0082072737755	7.774275469190009	4.82266041346685e-5
