r1	r2	r3	R	Q
0.10906452819339166	8.65918741046484	31.3312693944136	8.01553716611322	10.472769610090703
0.10912544826240861	8.65972170753970	34.9858592604270	8.02682653433003	9.214147263789496
0.10899790320752875	8.65439130093654	33.7279869899608	8.01574270880404	9.557828683933767
0.1090184986799809	8.65799559824630	34.0423538113115	8.020662927724228	9.469555390324096
0.10878436715066124	8.64585158421275	35.1718085534604	8.005988127195039	8.51419080200209
0.10876635975123825	8.64316051608823	34.8746661083232	8.002112668980171	9.078485719671702
0.10810937743732245	8.61216750099066	28.8997859496929	7.93860250134583	10.955689386326274
0.10803851035810152	8.60973317282742	29.5866531259260	7.936763641880837	10.604041352500099
0.10838822713308258	8.62457815873899	34.5324801076422	7.974292855747306	8.602815685510155
0.10773751083394548	8.59477761786765	28.5746224732374	7.911295886344307	10.87894583765104
0.10785994748054131	8.60105855421325	29.4928520203229	7.92364599198255	10.540191325729507
0.10776653728806901	8.59715328087112	28.7951392617678	7.915105240690819	10.795621427486614
0.10781380209818323	8.59891348152818	29.0516931205857	7.918576688838353	10.7002719914373
